Site Name,Municipality,County,Listed,Map,CERCLIS ID,Latitude,Longitude
American Cyanamid,Bridgewater Township,Somerset,09/08/1983[1],Link,NJD002173276,40.55556,-74.55945
A.O. Polymer Corporation,Sparta Township,Sussex,09/08/1983[2],Link,NJD030253355,41.043563,-74.628153
Asbestos Dump,Long Hill & Harding Township,Morris,09/08/1983[3],Link,NJD980654149,40.672009,-74.525725
Atlantic Resources Corporation,Sayreville Borough,Middlesex,09/05/2002[4],Link,NJD981558430,40.48611,-74.31944
Bog Creek Farm,Howell Township,Monmouth,09/08/1983[5],Link,NJD063157150,39.389839,-74.524042
Brick Township Landfill,Brick Township,Ocean,09/08/1983[6],Link,NJD980505176,40.1098,-74.1311
"Bridgeport Rental & Oil Services, Inc. (BROS)",Logan Township,Gloucester,09/08/1983[7],Link,NJD053292652,39.804636,-75.322563
Brook Industrial Park,Bound Brook,Somerset,10/04/1989[8],Link,NJD078251675,40.560003,-74.536694
Burnt Fly Bog,Marlboro Township,Monmouth,09/08/1983[9],Link,NJD980504997,40.375,-74.27916
Caldwell Trucking Company,Fairfield Township,Essex,09/08/1983[10],Link,NJD048798953,40.87638,-74.27138
Chemical Control Corporation,Elizabeth City,Union,09/21/1984[11],Link,NJD000607481,40.63614,-74.201385
Chemical Insecticide Corporation,Edison Township,Middlesex,08/30/1990[12],Link,NJD980484653,40.1098,-74.1311
"Chemical Leaman Tank Lines, Inc.",Logan Township,Gloucester,09/21/1984[11],Link,NJD047321443,39.810221,-75.314678
"Chemsol, Inc.",Piscataway Township,Middlesex,09/08/1983[13],Link,NJD980528889,40.562267,-74.444184
Ciba-Geigy Corporation,Toms River,Ocean,09/08/1983[14],Link,NJD001502517,39.96638,-74.215196
Cinnaminson Ground Water Contamination,Cinnaminson Township,Burlington,06/10/1986[15],Link,NJD980785638,40.015887,-74.989821
Combe Fill South Landfill,Chester Township & Washington Township,Morris,09/08/1983[16],Link,NJD980530596,40.769838,-74.732571
"Cornell Dubilier Electronics, Inc.",South Plainfield,Middlesex,7/22/1998[17],Link,NJD981557879,40.576429,-74.41228
